text,created_at,id,edit_history_tweet_ids,author_id,source,title,date,excerpt,image_url,link,scrape_date
"A Seeker just bought a Rare 𝗖𝘆𝗯𝗲𝗿𝘁𝗼𝗼𝘁𝗵 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/iCtTJSiqvR

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/Se90vdZT3V",2025-05-29T11:23:18.000Z,1.9280495066977853e+18,['1928049506697785461'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗥𝗮𝗰𝗰𝗼𝗶𝗻 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/guGCQWXlMs

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/i5NIubbk4a",2025-05-29T10:13:11.000Z,1.9280318597215483e+18,['1928031859721548214'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗚𝗵𝗼𝘂𝗹𝗶𝗮𝘁𝗵 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/FsuKzqy6tv

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/5Bo4xenBjO",2025-05-29T10:03:07.000Z,1.9280293288449357e+18,['1928029328844935644'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗛𝗼𝗹𝗹𝗼𝘄𝗼𝗼 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/HYirLOY1sP

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/FGFmnNt97D",2025-05-29T08:17:56.000Z,1.928002858667967e+18,['1928002858667966877'],1.8211428283047567e+18,twitter,,,,,,
"🎮 Web3 gaming isn’t the future — it’s happening now.
Games like Shrapnel, Aurory, and Phantom Galaxies are delivering AAA-level experiences with real asset ownership. 🚀
Gamers are starting to care about what they own.
#Web3Gaming #GameFi #OGL #PlayToOwn",2025-05-29T05:19:49.000Z,1.9279580318845873e+18,['1927958031884587391'],1.835220076079059e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗛𝗼𝗹𝗹𝗼𝘄𝗼𝗼 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/HYirLOY1sP

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/9VhKAtsPma",2025-05-29T01:13:08.000Z,1.9278959519281564e+18,['1927895951928156432'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗖𝘆𝗯𝗲𝗿𝘁𝗼𝗼𝘁𝗵 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/iCtTJSiqvR

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/kV5bPAd0wL",2025-05-29T01:03:04.000Z,1.9278934219911212e+18,['1927893421991121192'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a 𝗟𝗘𝗚𝗘𝗡𝗗𝗔𝗥𝗬 𝗢𝗼𝗴𝗿𝗼𝗰𝗸 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 281 $AURY  (37.32 $USD)

LFGame ⚡

Details: https://t.co/h9Wqcf1JXC

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/WbqBHP7jTC",2025-05-29T00:38:00.000Z,1.9278871102513562e+18,['1927887110251356281'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/QLfAGEbg10",2025-05-29T00:17:55.000Z,1.9278820562031537e+18,['1927882056203153539'],1.8211428283047567e+18,twitter,,,,,,
"@MichaelMetivie4 @AuroryProject One of the most positive people we’ve ever had in Aurory

It’d be a pleasure to have you on board",2025-05-28T22:54:32.000Z,1.9278610718276733e+18,['1927861071827673345'],1.4617465083453153e+18,twitter,,,,,,
"🔥 The BIGGЕST #Сryрtо #РUMР #Signаl is here! 🚀 Jоin the actiоn!

 https://t.co/qw9XoYZw3V $ETH 

Qg7ZYGsC @Joshua_Manuel_5 @lynnvalle14508 @elmaxifasso @DeborahRod17957 @Aurory_NFT @FelmeyKell49509 @mrsRich19712 @David_Jewell196 @Thundatooreal @spikenardlytics",2025-05-28T21:13:23.000Z,1.9278356197424256e+18,['1927835619742425473'],1.925308123872383e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗗𝗶𝗻𝗼𝘁𝘂𝘀𝗸 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/dYZk7FrKsb

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/tnOoWa9P48",2025-05-28T21:07:27.000Z,1.927834126599537e+18,['1927834126599536924'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗧𝗼𝗸𝗼𝗺𝗮 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 70 $AURY  (9.28 $USD)

LFGame ⚡

Details: https://t.co/QvOaWeh5lH

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/ntJZ969SVE",2025-05-28T18:02:02.000Z,1.9277874650974986e+18,['1927787465097498686'],1.8211428283047567e+18,twitter,,,,,,
"@DaoryAurory @AuroryProject Fellow Aurorian holders, thank you for being here and believing in the future of Aurory. My name is Montales, and I’m running to be your DAOry Councillor because I’m not just a fan of this project—I’m an Aurory lover through and through. My collection, my active role in the game,",2025-05-28T17:16:30.000Z,1.9277760036753206e+18,['1927776003675320547'],1.4365293725682033e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗖𝗵𝗼𝗰𝗼𝗺𝗶𝗻𝘁 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 55 $AURY  (7.28 $USD)

LFGame ⚡

Details: https://t.co/tQnkAnxFK8

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/w4dg4W2WOy",2025-05-28T17:11:55.000Z,1.927774853060305e+18,['1927774853060304954'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗗𝗶𝗻𝗼𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 50 $AURY  (6.62 $USD)

LFGame ⚡

Details: https://t.co/kXRIbpzYJr

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/XsnJ8hGUH7",2025-05-28T17:01:52.000Z,1.9277723226744425e+18,['1927772322674442384'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗔𝘅𝗼𝗯𝘂𝗯𝗯𝗹𝗲 (𝗟𝗩𝗟  𝟲)! 🔥

LFGame ⚡

Details: https://t.co/S8bDpR16QY

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/fJk0rzydmw",2025-05-28T16:21:41.000Z,1.9277622078587087e+18,['1927762207858708742'],1.8211428283047567e+18,twitter,,,,,,
"🔥 Post 3617 of 100,000 — You’ve been tagged!

The $SOLV bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/gqnIoOo6Lb

— Solv Protocol News

🫂 Eligible : @mahdimahin2 @GeorgiaHarry9 @GuofuWeng @0xCitizen_ @Melo_Aurory @arezoo13811712",2025-05-28T13:45:08.000Z,1.9277228140453852e+18,['1927722814045385176'],1.9195385388502548e+18,twitter,,,,,,
"We are excited to announce that you can qualify for a $SOL drop!

Claim here:https://t.co/ZJ5Yi8H9b7

@Austinheck325 @B1muuuuu @Melo_Aurory @crzyralph_ @0xWinterr_ @JoshJerush46656 @angadjeet @ZUbillos @IstvanDocze @GhostKFC09 MJ0Yky",2025-05-28T12:57:14.000Z,1.9277107563650499e+18,['1927710756365049936'],1.9265209059637985e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗦𝗵𝗶𝗯𝗮 𝗜𝗴𝗻𝗶𝘁𝗲 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/B2LplVnH8X

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/jiXusZlTWK",2025-05-28T10:05:59.000Z,1.92766766300783e+18,['1927667663007830143'],1.8211428283047567e+18,twitter,,,,,,
"🔥 The BIGGЕST #SОNIC #Drор #Аnnоuncеmеnt is here! 🚀 Jоin the actiоn!

https://t.co/Zg3gpyI4li $SОNIC

CNpvhnU5 @viqtaufiq24 @Kachinga24 @_WallyG @ani18anano @Melo_Aurory @SeemaVe19510389",2025-05-28T10:05:31.000Z,1.9276675456134723e+18,['1927667545613472233'],1198180873.0,twitter,,,,,,
"A Seeker just bought a Rare 𝗖𝗵𝗼𝗰𝗼𝗺𝗶𝗻𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/tQnkAnxFK8

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/lKMat8bmEJ",2025-05-28T08:00:47.000Z,1.9276361528837573e+18,['1927636152883757379'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/hukSu3FmOT",2025-05-28T08:00:45.000Z,1.9276361447468076e+18,['1927636144746807655'],1.8211428283047567e+18,twitter,,,,,,
"🔥 Post 4392 of 100,000 — You’ve been tagged!

The $W bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/uRtkFKoCP8

— Wormhole News

🫂 @Melo_Aurory @SECRETOFCRIPTO @habStar162262 @YohanesWilliem @REDSKY1905 @35503429T",2025-05-28T04:21:44.000Z,1.927581028605899e+18,['1927581028605898985'],1.9194878997222523e+18,twitter,,,,,,
"🔥 Post 79312 of 100,000 — You’ve been tagged!

The SOLV bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/bvgppwozyN
— SOLV NEWS

🫂 @Melo_Aurory @Adeekay888 @VeronikaAvva @Fan23230Fan @omidl4308 @Kimberly09330",2025-05-28T04:00:49.000Z,1.9275757640959593e+18,['1927575764095959180'],1.9195249106214584e+18,twitter,,,,,,
"We are excited to announce that you can qualify for a $SOL drop!

Claim here:https://t.co/yURltjSJ2s

@Melo_Aurory @fatcatsmeme @GraftinSzn @Alves18_ONSOL @Marc0sGP @cornel_aci @HasibHossa65435 @Roman_824 @MyronPPP @MaryohS TPJ85ku",2025-05-28T02:41:55.000Z,1.9275559069227994e+18,['1927555906922799459'],1.9265016419324027e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/utWcxL5Jxk",2025-05-28T01:46:43.000Z,1.9275420149014449e+18,['1927542014901444754'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗕𝗶𝘁𝗲𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟱)! 🔥

LFGame ⚡

Details: https://t.co/oAMBtLuywf

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/XB8TVHb9wh",2025-05-27T22:26:13.000Z,1.9274915605238461e+18,['1927491560523846089'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗨𝗻𝗶𝗸𝗶𝗿𝗶𝗻 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 50 $AURY  (6.55 $USD)

LFGame ⚡

Details: https://t.co/yAZOfhDpcE

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/9BsIWCFxev",2025-05-27T19:40:51.000Z,1.9274499420055552e+18,['1927449942005555206'],1.8211428283047567e+18,twitter,,,,,,
"🔥 The BIGGЕST #SОNIC #Drор #Аnnоuncеmеnt is here! 🚀 Jоin the actiоn!

https://t.co/LVZnu1xgtB $SОNIC

SLN8u2KB @Melo_Aurory @Zakareia312 @dii_hien71390 @EmmanuelWaira @UmarGarba190554 @alreadeathed1",2025-05-27T17:53:40.000Z,1.927422970286273e+18,['1927422970286273000'],266309961.0,twitter,,,,,,
"We are excited to announce that you can qualify for a $SOLV rewards!

Check your eligibility and claim here: https://t.co/Dbznp0gLNs

🫂 Invited users: @ListenZhy @Melo_Aurory @DaBing98 @darryringeth @iamhamedgh 

Q6MKw #SOLV",2025-05-27T17:24:22.000Z,1.9274155948123712e+18,['1927415594812371215'],1.9195039033115075e+18,twitter,,,,,,
"A Seeker just bought a 𝗟𝗘𝗚𝗘𝗡𝗗𝗔𝗥𝗬 𝗭𝘇𝗼𝗼 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 1300 $AURY  (170.43 $USD)

LFGame ⚡

Details: https://t.co/BH97ungAQN

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/aBA2lAyb2y",2025-05-27T16:40:06.000Z,1.927404456435491e+18,['1927404456435490963'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝘀𝘀𝗶𝗲 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/vfStAOCL0A

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/HOLUciwDSu",2025-05-27T16:19:59.000Z,1.9273993933736307e+18,['1927399393373630611'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗦𝗵𝗶𝗯𝗮𝗿𝗸 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 50 $AURY  (6.54 $USD)

LFGame ⚡

Details: https://t.co/q0as9mXflT

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/sQpjRe8JW1",2025-05-27T16:09:56.000Z,1.92739686318069e+18,['1927396863180689861'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗗𝗶𝗻𝗼𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/kXRIbpzYJr

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/jIiMJfQfgc",2025-05-27T16:09:51.000Z,1.9273968448180142e+18,['1927396844818014329'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗡𝘂𝗺𝗯𝗲𝗿 𝟵 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/hVXDztgiSQ

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/NYHjKKREBG",2025-05-27T16:04:49.000Z,1.927395575323931e+18,['1927395575323930920'],1.8211428283047567e+18,twitter,,,,,,
@ekzzxx @Monkey10_45 Only great talents in the Aurory community! 🌟,2025-05-27T14:49:25.000Z,1.9273766018696768e+18,['1927376601869676720'],1.4617465083453153e+18,twitter,,,,,,
"@DaoryAurory @Monkey10_45 I neeed thiss 
Aurory collection",2025-05-27T13:36:55.000Z,1.927358357972697e+18,['1927358357972697109'],1.6105053450379264e+18,twitter,,,,,,
"We are excited to announce that you can qualify for a $SOLV rewards!

Check your eligibility and claim here: https://t.co/FtAoN98bif

🫂 Invited users: @Nick57991410 @doku_para_m @TeraPorter13 @billalhafidz @Melo_Aurory 

Ux7NK #RZR",2025-05-27T13:13:37.000Z,1.9273524934673823e+18,['1927352493467382269'],1.9195153999826289e+18,twitter,,,,,,
@SHIH0THEWRLD good morning aurory,2025-05-27T10:15:39.000Z,1.9273077050031885e+18,['1927307705003188486'],1.5020592306305966e+18,twitter,,,,,,
@kev4evaa Meow! Paws up if you're marking your calendar—just don’t forget to leave room for chasing $TAILS and hunting rare Aurory NFTs.  #tokentails,2025-05-27T05:55:59.000Z,1.9272423575372106e+18,['1927242357537210720'],1.900139316606886e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/Thc46KSZDC",2025-05-27T02:48:41.000Z,1.9271952247967421e+18,['1927195224796742027'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗥𝗮𝗰𝗰𝗼𝗶𝗻 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/guGCQWXlMs

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/69KDJq81zX",2025-05-27T02:48:39.000Z,1.9271952148353272e+18,['1927195214835327330'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/HjlLd6gj30",2025-05-26T20:43:05.000Z,1.9271032180073065e+18,['1927103218007306465'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗖𝗵𝗼𝗰𝗼𝗺𝗶𝗻𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/tQnkAnxFK8

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/1vCazj2p7y",2025-05-26T20:43:02.000Z,1.9271032063135913e+18,['1927103206313591207'],1.8211428283047567e+18,twitter,,,,,,
"Hey Aurory, we're keeping your calendar on here, never miss a thing! https://t.co/s5PwRzSqSL",2025-05-26T17:54:55.000Z,1.927060894833328e+18,['1927060894833328237'],1.6082311954769183e+18,twitter,,,,,,
